上海锦江汤臣洲际大酒店  ,021-58357777,021-58356666
上海金茂君悦大酒店  ,021-50491111,021-50491234
上海金茂君悦大酒店  ,021-50491111,021-50491234
上海佳友维景大酒店 ,021-51909008,021-51909000
上海隆德丰国际大酒店 ,021-58525151,021-38809988
上海龙之梦万丽酒店 ,021-61158988,021-61158888
上海美兰湖皇冠假日酒店 ,021-56590136,021-56590888
上海鹏利辉盛阁公寓 ,021-58826033,021-63788888
上海品尊名致精品酒店公寓 ,021-61730888,021-61177668、61478888
上海日航饭店 ,021-3211 9988,021-32119999
上海世博洲际酒店 ,021-38581199,021-38581188
上海世茂佘山艾美酒店  ,021-57798999,021-57799999
上海外高桥皇冠假日酒店  ,021-58621222,021-58621000
上海威斯汀大饭店  ,021-63352888,021-63351888
上海外滩浦华大酒店 ,021-65371501,021-55589999
上海外滩英迪格酒店 ,021-33029998,021-33029999
上海新锦江大酒店  ,021-64150045,021-64151188
上海新天地朗廷酒店 ,021-23302233,021-23302288
上海新天哈瓦那大酒店 ,021-38678666,021-38678888
上海雅居乐万豪酒店 ,021-23129530,021-23129888
上海豫园万丽酒店  ,021-53503658,021-23218888
大上海国际花园酒店公寓 ,021-54787908,021-34686068
金子湾农庄（江南三民文化村） ,021-59649490,021-59649288
乐彼家（上海）精品酒店 ,021-64313876,021-64746888
速8酒店（上海松江荣乐东路店）（原上海雅隽阁花园酒店） ,021-67879111,021-67879888
上海88新天地服务公寓 ,021-23302277,021-前台53838833 订房23302288转预订部
上海88新天地服务公寓 ,021-23302277,021-前台53838833 订房23302288转预订部
上海博地精品酒店 ,021-61636277,021-61633333
上海宾馆  ,021-62496129,021-62480088
速8酒店（上海松江荣乐东路店）（原上海雅隽阁花园酒店） ,021-67879111,021-67879888
乐彼家（上海）精品酒店 ,021-64313876,021-64746888
金子湾农庄（江南三民文化村） ,021-59649490,021-59649288
上海宾馆  ,021-62496129,021-62480088
上海柏雅居酒店公寓 ,021-58208103,021-58201138
上海城中园酒店 ,021-50701538,021-51538555
上海大华锦绣假日酒店 ,021-50559880,021-50559888
上海大宁福朋喜来登酒店 ,021-26022233,021-26022222
上海大众美林阁大酒店 ,021-64658288,021-64466666
上海汾阳花园酒店 ,021-54569880,021-54569888
上海国际贵都大饭店  ,021-62481773,021-62481688
上海古井假日酒店  ,021-62661888,021-62768888
上海华凯华美达广场酒店 ,021-67120590,021-67120550
上海红楼戴斯宾馆 ,021-37827038,021-37827777
上海海神诺富特大酒店  ,021-50366677,021-50366666
上海辉盛庭国际公寓 ,021-63861383,021-23080000
上海海悦滨江酒店公寓 ,021-58799675,021-51327888
上海哈一顿大酒店 ,021-61459688,021-61131888
上海海悦酒店 ,021-64959876,021-64956666
上海静安宾馆  ,021-62482657,021-62481888
上海嘉汇华美达广场大酒店 ,021-33633666,021-33632222
上海君豪商务酒店 ,021-52382255,021-52385777
上海JIA酒店 ,021-62879001,021-62179000
上海嘉瑞酒店  ,021-68768859,021-50812222
上海金外滩宾馆  ,021-63522777,021-63522000
上海克拉玛依石油宾馆 ,021-56083808,021-56088677
上海康兰尼宾悦酒店（原上海兴业嘉园康福特服务公寓） ,021-50585588-8005,021-50585588、50582546
上海凯斯国际宾馆 ,021-64791116,021-64599288
上海蓝海博龙国际大酒店 ,021-58917393,021-50619999
上海浪音酒店 ,021-57121313,021-57127070
上海联艺·凯文公寓 ,021-51795002,021-51795000
上海浦东福朋喜来登由由酒店 ,021-50395699,021-50399999
上海浦东机场华美达大酒店  ,021-68852889,021-38494949
上海浦西开元大酒店 ,021-61390111,021-61391888
上海浦西万怡酒店 ,021-22153999,021-22153888
上海旗山大酒店 ,021-67765277,021-67765000
上海瑞邦公寓式酒店 ,021-51321608,021-38997777
上海瑞峰公寓酒店 ,021-52387718,021-62130022
上海瑞金宾馆 ,021-64732277,021-64725222
上海瑞亚湖滨酒店 ,021-68568820,021-60753388
上海莎海国际酒店 ,021-20985999,021-38136666
上海松江假日酒店 ,021-57715666,021-37859999
上海森勤国际大酒店 ,021-37565777,021-57432888
上海同济戴斯大酒店  ,021-33626777,021-33626888、33626219
上海通茂大酒店  ,021-58354007,021-58300000
上海王宝和大酒店  ,021-53965188,021-53965000
上海外滩海湾大厦酒店 ,021-53930009,021-53930008
上海信安左城酒店 ,021-61639790,021-61651111
上海馨乐庭碧云服务公寓 ,021-38602000,021-38602288
上海馨乐庭金桥服务公寓 ,021-23086688,021-23086666
上海延安饭店  ,021-61331111,021-61331188
上海壹号码头精品酒店 ,021-62773077,021-62773388
上海易里酒店式公寓 ,021-61960800,021-61960818
上海逸兰金桥服务式公寓 ,021-50133666,021-50133888
上海雅鑫商务酒店 ,021-22064988,021-38424949
上海远洋宾馆  ,021-65458993,021-65458888
雅斯酒店连锁（上海同济佳苑酒店公寓） ,021-52286338,021-52282508、62721167
上海星程上服假日酒店海伦路 ,021-65873700,021-56963311
宝隆居家酒店（上海吴淞店） ,021-51671131,021-56580101
富驿时尚酒店（上海徐家汇店） ,021-60919981,021-60919988
