杭州新东坡宾馆 ,0571-28177889,0571-28973333
杭州星光电影主题酒店 ,0571-87777388,0571-87777688
杭州西湖饭店 ,0571-87835168,0571-87835118
杭州闲林宾馆  ,0571-88686999,0571-88686888
杭州萧山帝豪商务酒店 ,0571-82680716,0571-82706888
杭州萧山华田商务酒店 ,0571-83867786,0571-83887888
杭州溪尚酒店 ,0571-56816118,0571-56816100
杭州萧山纳德51风尚酒店 ,0571-82865151,0571-82869999
杭州萧山新世纪邮电宾馆  ,0571-82622668,0571-82883888
杭州新延安饭店 ,0571-85067658,0571-85066111
杭州新座丽豪城市酒店 ,0571-86713688,0571-86959999
杭州永汇国际大酒店 ,0571-28063668,0571-28063666
杭州余杭西园宾馆 ,0571-88662150,0571-88662911
杭州银桥大酒店 ,0571-51215228,0571-51215001
杭州浙旅名庭顺昌大酒店 ,0571-87670777,0571-86888666
杭州中强假日大酒店 ,0571-86238855,0571-86168888
杭州中强假日大酒店 ,0571-86238855,0571-86168888
杭州正阳酒店 ,0571-87773666,0571-87773555
维也纳国际酒店（杭州滨康路店） ,0571-83739177,0571-83739188
维也纳国际酒店（杭州武林广场店） ,0571-85365666,0571-85822888
怡莱连锁酒店（杭州朝晖店） ,0571-28112600,0571-28112599
怡莱连锁酒店（杭州黄龙店） ,0571-87207555,0571-87207666
浙江传媒学院国际交流中心 ,0571-86876761,0571-86029599
浙江潮王大酒店 ,0571-88386359,0571-88387888
浙江人寿大厦 ,0571-87815113,0571-87812666
浙江铁道大厦城市广场大酒店  ,0571-87805789,0571-87830688
浙江田园宾馆 ,0571-86713372,0571-86713001
浙江新世纪大酒店  ,0571-88389931,0571-88391111
浙江翔园宾馆  ,0571-88310092,0571-88310888
99旅馆连锁（杭州北景园店） ,0571-88139519,0571-88138519
99旅馆连锁（杭州东站店） ,0571-86954588,0571-86988000
99旅馆连锁（杭州汽车北站店） ,0571-28185799,0571-28185899
布丁酒店（杭州滨江滨康路长河店） ,0571-86691767,0571-86691787、86691797
布丁酒店（杭州学院路翠苑店） ,0571-28186906,0571-28186908
布丁酒店（杭州大关路店） ,0571-56552200,0571-56368999
布丁酒店（杭州凤起路店） ,0571-85281681,0571-85281680
布丁酒店（杭州火车东站店） ,0571-86637365,0571-81110222
布丁酒店（杭州湖墅南路一店） ,0571-88088835,0571-88087060
布丁酒店（杭州解放路店） ,0571-88973669,0571-88913555
布丁酒店（杭州教工路店） ,0571-88840777,0571-88840555
布丁酒店（杭州汽车北站店） ,0571-87381919,0571-87381918
布丁酒店（杭州钱江市场店） ,0571-87999102,0571-86622226
布丁酒店（杭州上塘路店） ,0571-85237066,0571-85132008
